# GNDS name	fraction
Ag107	0.51839
Ag109	0.48161
Al27	1.0
Ar36	0.003336
Ar38	0.000629
Ar40	0.996035
As75	1.0
Au197	1.0
B10	0.1982
B11	0.8018
Ba130	0.0011
Ba132	0.001
Ba134	0.0242
Ba135	0.0659
Ba136	0.0785
Ba137	0.1123
Ba138	0.717
Be9	1.0
Bi209	1.0
Br79	0.50686
Br81	0.49314
C12	0.988922
C13	0.011078
Ca40	0.96941
Ca42	0.00647
Ca43	0.00135
Ca44	0.02086
Ca46	4e-05
Ca48	0.00187
Cd106	0.01245
Cd108	0.00888
Cd110	0.1247
Cd111	0.12795
Cd112	0.24109
Cd113	0.12227
Cd114	0.28754
Cd116	0.07512
Ce136	0.00186
Ce138	0.00251
Ce140	0.88449
Ce142	0.11114
Cl35	0.757647
Cl37	0.242353
Co59	1.0
Cr50	0.04345
Cr52	0.83789
Cr53	0.09501
Cr54	0.02365
Cs133	1.0
Cu63	0.6915
Cu65	0.3085
Dy156	0.00056
Dy158	0.00095
Dy160	0.02329
Dy161	0.18889
Dy162	0.25475
Dy163	0.24896
Dy164	0.2826
Er162	0.00139
Er164	0.01601
Er166	0.33503
Er167	0.22869
Er168	0.26978
Er170	0.1491
Eu151	0.4781
Eu153	0.5219
F19	1.0
Fe54	0.05845
Fe56	0.91754
Fe57	0.02119
Fe58	0.00282
Ga69	0.60108
Ga71	0.39892
Gd152	0.002
Gd154	0.0218
Gd155	0.148
Gd156	0.2047
Gd157	0.1565
Gd158	0.2484
Gd160	0.2186
Ge70	0.2052
Ge72	0.2745
Ge73	0.0776
Ge74	0.3652
Ge76	0.0775
H1	0.99984426
H2	0.00015574
He3	2e-06
He4	0.999998
Hf174	0.0016
Hf176	0.0526
Hf177	0.186
Hf178	0.2728
Hf179	0.1362
Hf180	0.3508
Hg196	0.0015
Hg198	0.1004
Hg199	0.1694
Hg200	0.2314
Hg201	0.1317
Hg202	0.2974
Hg204	0.0682
Ho165	1.0
I127	1.0
In113	0.04281
In115	0.95719
Ir191	0.373
Ir193	0.627
K39	0.932581
K40	0.000117
K41	0.067302
Kr78	0.00355
Kr80	0.02286
Kr82	0.11593
Kr83	0.115
Kr84	0.56987
Kr86	0.17279
La138	0.0008881
La139	0.9991119
Li6	0.07589
Li7	0.92411
Lu175	0.97401
Lu176	0.02599
Mg24	0.78951
Mg25	0.1002
Mg26	0.11029
Mn55	1.0
Mo100	0.09744
Mo92	0.14649
Mo94	0.09187
Mo95	0.15873
Mo96	0.16673
Mo97	0.09582
Mo98	0.24292
N14	0.996337
N15	0.003663
Na23	1.0
Nb93	1.0
Nd142	0.27153
Nd143	0.12173
Nd144	0.23798
Nd145	0.08293
Nd146	0.17189
Nd148	0.05756
Nd150	0.05638
Ne20	0.9048
Ne21	0.0027
Ne22	0.0925
Ni58	0.680769
Ni60	0.262231
Ni61	0.011399
Ni62	0.036345
Ni64	0.009256
O16	0.9976206
O17	0.000379
O18	0.0020004
Os184	0.0002
Os186	0.0159
Os187	0.0196
Os188	0.1324
Os189	0.1615
Os190	0.2626
Os192	0.4078
P31	1.0
Pa231	1.0
Pb204	0.014
Pb206	0.241
Pb207	0.221
Pb208	0.524
Pd102	0.0102
Pd104	0.1114
Pd105	0.2233
Pd106	0.2733
Pd108	0.2646
Pd110	0.1172
Pr141	1.0
Pt190	0.00012
Pt192	0.00782
Pt194	0.32864
Pt195	0.33775
Pt196	0.25211
Pt198	0.07356
Rb85	0.7217
Rb87	0.2783
Re185	0.374
Re187	0.626
Rh103	1.0
Ru100	0.126
Ru101	0.1706
Ru102	0.3155
Ru104	0.1862
Ru96	0.0554
Ru98	0.0187
Ru99	0.1276
S32	0.9504074
S33	0.0074869
S34	0.0419599
S36	0.0001458
Sb121	0.5721
Sb123	0.4279
Sc45	1.0
Se74	0.0086
Se76	0.0923
Se77	0.076
Se78	0.2369
Se80	0.498
Se82	0.0882
Si28	0.9222968
Si29	0.0468316
Si30	0.0308716
Sm144	0.0308
Sm147	0.15
Sm148	0.1125
Sm149	0.1382
Sm150	0.0737
Sm152	0.2674
Sm154	0.2274
Sn112	0.0097
Sn114	0.0066
Sn115	0.0034
Sn116	0.1454
Sn117	0.0768
Sn118	0.2422
Sn119	0.0859
Sn120	0.3258
Sn122	0.0463
Sn124	0.0579
Sr84	0.0056
Sr86	0.0986
Sr87	0.07
Sr88	0.8258
Ta180_m1	0.0001201
Ta181	0.9998799
Tb159	1.0
Te120	0.0009
Te122	0.0255
Te123	0.0089
Te124	0.0474
Te125	0.0707
Te126	0.1884
Te128	0.3174
Te130	0.3408
Th230	0.0002
Th232	0.9998
Ti46	0.0825
Ti47	0.0744
Ti48	0.7372
Ti49	0.0541
Ti50	0.0518
Tl203	0.29524
Tl205	0.70476
Tm169	1.0
U234	5.4e-05
U235	0.007204
U238	0.992742
V50	0.0025
V51	0.9975
W180	0.0012
W182	0.265
W183	0.1431
W184	0.3064
W186	0.2843
Xe124	0.00095
Xe126	0.00089
Xe128	0.0191
Xe129	0.26401
Xe130	0.04071
Xe131	0.21232
Xe132	0.26909
Xe134	0.10436
Xe136	0.08857
Y89	1.0
Yb168	0.00123
Yb170	0.02982
Yb171	0.14086
Yb172	0.21686
Yb173	0.16103
Yb174	0.32025
Yb176	0.12995
Zn64	0.4917
Zn66	0.2773
Zn67	0.0404
Zn68	0.1845
Zn70	0.0061
Zr90	0.5145
Zr91	0.1122
Zr92	0.1715
Zr94	0.1738
Zr96	0.028
