t_s,rho_dk
0.00,0.000000e+00
0.25,0.000000e+00
0.50,0.000000e+00
0.75,0.000000e+00
1.00,0.000000e+00
1.25,2.500000e-04
1.50,5.000000e-04
1.75,7.500000e-04
2.00,1.000000e-03
2.25,1.250000e-03
2.50,1.500000e-03
2.75,1.750000e-03
3.00,2.000000e-03
3.25,2.000000e-03
3.50,2.000000e-03
3.75,2.000000e-03
4.00,2.000000e-03
4.25,2.000000e-03
4.50,2.000000e-03
4.75,2.000000e-03
5.00,2.000000e-03
5.25,2.000000e-03
5.50,2.000000e-03
5.75,2.000000e-03
6.00,2.000000e-03
6.25,2.000000e-03
6.50,2.000000e-03
6.75,2.000000e-03
7.00,2.000000e-03
7.25,2.000000e-03
7.50,2.000000e-03
7.75,2.000000e-03
8.00,2.000000e-03
8.25,2.000000e-03
8.50,2.000000e-03
8.75,2.000000e-03
9.00,2.000000e-03
9.25,2.000000e-03
9.50,2.000000e-03
9.75,2.000000e-03
10.00,2.000000e-03
